default,default response
"""Who told you that?""","""Richmond. He said so last night, and he knows. You know Richmond,
don't you?"""
"""Richmond. He said so last night, and he knows. You know Richmond,
don't you?""","""No, I don't know him. He once proposed my health; he had diamond studs
in his shirt. That's all I remember about him."""
"""No, I don't know him. He once proposed my health; he had diamond studs
in his shirt. That's all I remember about him.""","""He's simply sweet. Oh, when he came up and bowed and said: I expect
you hardly remember me.... Do you know, I gave him the rose."""
"""He's simply sweet. Oh, when he came up and bowed and said: I expect
you hardly remember me.... Do you know, I gave him the rose.""","""Did you though? What rose?"""
"""Did you though? What rose?""","""The one I had in my hair. I gave it him."""
"""The one I had in my hair. I gave it him.""","""You must have been very taken with Richmond."""
"""Not a bit, far from it. Surely one can like a person, think them nice,
without.... For shame, Johannes, are you mad? I shall never mention his
name again.""","""But, bless me, my dear Camilla, I didn't mean ... you mustn't
think.... On the contrary, I should like to thank him for having
entertained you."""
"""But, bless me, my dear Camilla, I didn't mean ... you mustn't
think.... On the contrary, I should like to thank him for having
entertained you.""","""Yes, you just do it—you dare! For my part I'll never say another
word to him as long as I live."""
"""Yes, I can't stay any longer. How far have you got with your work now?
Mamma asked about it. Fancy, I haven't seen Victoria for several weeks
and I met her just now.""","""Just now?"""
"""Just now?""","""As I was coming here. She smiled. But my goodness, how she has
changed! Look here, aren't you coming to see us soon?"""
"""Yes. And then I'll come when I've finished it. Thank you so much for
coming here, Camilla. And don't think any more about what I said. I
didn't mean any harm by it.""","""I'm not thinking about it at all. But I shall never mention his name
again. Never."""
"""After all I may just as well go back.""","""See you on Tuesday,"" Camilla answered."
"""What do you say, is your master come back? Who told you to say so?""","""The master himself. He's standing outside."""
"""You are so pale. Is there anything wrong with you, dear?""","""I am not cold,"" he answers."
"""I am not cold,"" he answers.","""But has anything happened? Your face looks so strangely drawn."""
"""You didn't come to our party. We had a great time, I can tell you; we
were expecting you to the very last, but you didn't come.""","""I was prevented,"" he replied."
"""Have you heard about Victoria?""","""About Victoria? No. Oh yes, I heard just now, a moment ago...."""
"""About Victoria? No. Oh yes, I heard just now, a moment ago....""","""Haven't you seen her declining, getting greyer and greyer under the
eyes?"""
"""Haven't you seen her declining, getting greyer and greyer under the
eyes?""","""I haven't seen her since last spring at home. Is she still ill?"""
"""I heard just now.... No, I haven't seen her declining, I haven't met
her. Is she very ill?""","""Very. Probably dead by now, you understand."""
