default,default response
"But her heartlessness in being so ready to bid him good-bye had made
him bitter, stirred up the wrath in his wounded heart. He stopped
abruptly and said with righteous indignation: ""But I'll tell you this,
Victoria, you won't get anybody who would have been so kind to you as I
should. That's all I've got to say.""","""Well, but Otto is kind too,"" she objected."
"""Well, but Otto is kind too,"" she objected.","""All right, take him."""
"""I shall have a splendid time. Don't be afraid about that. You don't
even know what my reward's going to be.""","""No. What is it going to be?"""
"""No. What is it going to be?""","""Half of the kingdom. That was the first thing."""
"""Half of the kingdom. That was the first thing.""","""Fancy, are you going to have that?"""
"""Fancy, are you going to have that?""","""And then I'm to get the Princess."""
"""That's not true, is it?""","""Yes, it is,"" he said."
"""I wonder what she looks like?""","""Oh, bless you, she's prettier than any one on earth. And that we knew
before."""
"""No, I could come by myself, I dare say.""","""Will you promise me that?"""
"""Will you promise me that?""","""Oh yes, I can promise that. But what does it matter to you? I can't
expect you to care."""
"""Well, I shall have to be going home,"" he said.","""Good-bye then,"" she answered and gave him her hand."
"""How long are you going to stay at home?"" she asked.","""Till the holidays are over."""
"""No, let it go on. What are you doing that for? Let the mill go on, I
tell you.""","""Was it you who started the mill?"" asked Victoria."
"""You must please ask your father to excuse this,"" she said.","""It would have been more proper if the Cadet had done that himself,""
answered Johannes."
"""It would have been more proper if the Cadet had done that himself,""
answered Johannes.","""I know. Of course, but—He is always taking things into his head....
How long it is since I saw you, Johannes!"""
"""I knew you were in town. Are you staying long?""","""A few days. No, not long. I'm going home again."""
"""A few days. No, not long. I'm going home again.""","""Thank you for stopping to talk to me,"" said he."
"""Is Otto at home?"" he asked for the sake of saying something.","""Yes, he's at home,"" she answered shortly."
"""Wasn't it a whole book? I thought....""","""Yes, there was a little book too."""
"""Of course I knew all the time that it couldn't be any use ... I mean,
that it was not I who ... I was only the Miller's son, and you.... Of
course that is so. And I can't even make out how I dare sit here beside
you and hint at it. I ought to stand before you, or kneel over there,
on the ground. That's how it ought to be. But somehow.... And then all
these years I have been away have made a difference. I seem to have
more confidence now. For I know that I'm no longer a child and I know
that you can't throw me into prison, if you wanted to. That gives me
courage to speak. But you mustn't be angry with me; I'd rather keep it
to myself.""","""No, go on. Say what you want to say."""
"""No, go on. Say what you want to say.""","""May I? What I want to say? If you mean that, then your ring is not to
stop me."""
"""Are you not coming home?""","""No. I'm not ready. Yes, I'll come. I shall leave now. I'm not ready,
but I'll do anything in the world. Do you sometimes stroll in the
garden at home now? Do you ever go out in the evening? I might see you,
I might be able to greet you perhaps, nothing more. But if you care for
me a little, if you can bear me, if you don't hate me, then say ... let
me have that comfort.... Do you know, there is a palm that flowers only
once in its lifetime, though it lives seventy years—the talipot palm.
But it only flowers once. Now is my flowering time. Yes, I'll get some
money and go home. I'll sell what I've written; I'm writing a big book,
you know, and I'll sell it now, tomorrow morning, all I have finished.
I shall get a lot for it. Do you want me to come home?"""
"""No. I'm not ready. Yes, I'll come. I shall leave now. I'm not ready,
but I'll do anything in the world. Do you sometimes stroll in the
garden at home now? Do you ever go out in the evening? I might see you,
I might be able to greet you perhaps, nothing more. But if you care for
me a little, if you can bear me, if you don't hate me, then say ... let
me have that comfort.... Do you know, there is a palm that flowers only
once in its lifetime, though it lives seventy years—the talipot palm.
But it only flowers once. Now is my flowering time. Yes, I'll get some
money and go home. I'll sell what I've written; I'm writing a big book,
you know, and I'll sell it now, tomorrow morning, all I have finished.
I shall get a lot for it. Do you want me to come home?""","""Yes."""
"""Yes.""","""I heard just now.... No, I haven't seen her declining, I haven't met
her. Is she very ill?"""
"""They say you're going to marry that little girl, that girl whose life
you saved; what was her name?""","""Camilla, do you mean?"""
"""Camilla, do you mean?""","""Camilla Seier. They say you are going to marry her."""
"""Camilla Seier. They say you are going to marry her.""","""Do they? Why do you ask that? She is not grown up. I have been to her
home, it is a big, fine house, a castle like your own; I have been
there many times. No, she is not grown up."""
"""Do they? Why do you ask that? She is not grown up. I have been to her
home, it is a big, fine house, a castle like your own; I have been
there many times. No, she is not grown up.""","""She is fifteen. I have met her, we have been together. I was much
taken with her. How charming she is!"""
"""She is fifteen. I have met her, we have been together. I was much
taken with her. How charming she is!""","""I am not going to marry her,"" he said."
"""I am not going to marry her,"" he said.","""Indeed."""
"He suddenly turned away from the window and looked towards his door;
somebody had knocked. He called: ""Come In!"" A man entered.","""Good-morning,"" he greeted the visitor."
"""Wait a moment. Oh, you ought to have seen how your face lighted up. I
saw it as you turned, it was the lamp, it sent a gleam of sunshine over
your forehead. You were not so angry any more, I saw that. I opened the
window, I know, and I sang too loud. I was the happy brother of all the
world. It sometimes happens like that. One takes leave of one's senses.
I ought to have thought that you were still asleep....""","""The whole town is still asleep."""
"""The whole town is still asleep.""","""Yes, it's early. I should like to make you a present. Will you accept
this? It is silver, it was given to me. A little girl whose life I once
saved gave it me. Please take it. It holds twenty cigarettes. You won't
have it? I see, you don't smoke, but you ought to learn. May I come and
see you tomorrow and make my excuses? I should like to do something,
beg your forgiveness...."""
"""Yes, it's early. I should like to make you a present. Will you accept
this? It is silver, it was given to me. A little girl whose life I once
saved gave it me. Please take it. It holds twenty cigarettes. You won't
have it? I see, you don't smoke, but you ought to learn. May I come and
see you tomorrow and make my excuses? I should like to do something,
beg your forgiveness....""","""Good-night."""
"""Good-night.""","""Good-night. I'm going to bed now, I promise you that. You shan't hear
another sound. And in future I'll be more careful."""
"""Thank you. Are you going home soon, Miss Victoria?""","""One of these days. All right, I'll give them your love."""
"""I saw you walking up and down outside here and I wanted to.... I saw
you from my window. I must go in again directly.""","""Thank you for coming, Victoria. I was in such despair a little while
ago and now it is gone. Excuse me for speaking to you at the theatre;
I'm sorry to say I asked for you here at the Chamberlain's too, I
wanted to see you and find out what you meant, what your meaning was."""
"""I am still quite uncertain about it all.""","""Don't let us talk any more about it. I have said enough, I have said
much too much, and now I am hurting you. I love you, I was not telling
you a lie the other day and I'm not telling you one now; but there is
so much that keeps us apart. I am very fond of you, I like talking
to you, would rather talk to you than to any one else, but.... Well,
I daren't stay here any longer, they can see us from the windows.
Johannes, there are so many reasons that you don't know, so you must
not ask me any more what I mean. I have thought of it night and day; I
mean what I said. But it will be impossible."""
"""Don't let us talk any more about it. I have said enough, I have said
much too much, and now I am hurting you. I love you, I was not telling
you a lie the other day and I'm not telling you one now; but there is
so much that keeps us apart. I am very fond of you, I like talking
to you, would rather talk to you than to any one else, but.... Well,
I daren't stay here any longer, they can see us from the windows.
Johannes, there are so many reasons that you don't know, so you must
not ask me any more what I mean. I have thought of it night and day; I
mean what I said. But it will be impossible.""","""What will be impossible?"""
"""What will be impossible?""","""The whole thing. All of it. Look here, Johannes, you must not force me
to have pride for both of us."""
"""The whole thing. All of it. Look here, Johannes, you must not force me
to have pride for both of us.""","""Very well. All right, I'll spare you that! But it comes to this, that
you made a fool of me the other day. It so happened that you met me in
the street and you were in good humour and so...."""
"""No. That's not it. I have thought it over, that's all; haven't you
done the same? It has been impossible all along, you know. I am fond of
you, appreciate you....""","""And respect you."""
"""Can't you come home for a bit? I should look forward to it very much.
How warm your hand is; I'm freezing. No, I must go now. Good-night.""","""Good-night,"" he answered."
"""By the bye—Johannes, have you heard from him?""","""No, nothing from him, thank you for asking. Nothing."""
"""No, nothing from him, thank you for asking. Nothing.""","""I suppose he'll be coming soon. I thought you might have heard."""
"""I suppose he'll be coming soon. I thought you might have heard.""","""No, not since last spring. Johannes is in foreign parts, it seems."""
"""No, not since last spring. Johannes is in foreign parts, it seems.""","""Yes, in foreign parts. He is well. He writes himself in a book that he
is in the days of small sorrows. So he must be well."""
"""Yes, in foreign parts. He is well. He writes himself in a book that he
is in the days of small sorrows. So he must be well.""","""Oh yes, oh yes, God knows. We are waiting for him."""
"""Oh yes, oh yes, God knows. We are waiting for him.""","""Perhaps he is better off where he is, since his sorrows are small.
Well, that's his affair. I only wanted to know whether he was coming
home this spring. Good-night again."""
"""Perhaps he is better off where he is, since his sorrows are small.
Well, that's his affair. I only wanted to know whether he was coming
home this spring. Good-night again.""","""Good-night."""
"At last Victoria came. ""I hear you want to speak to me?"" she said,
opening the door of a room.","The Miller went in, handed her a handkerchief and said: ""And then we
have had a letter from Johannes."""
"""Thank you very much. Yes, the handkerchief is mine.""","""He is coming home again,"" the Miller went on, almost in a whisper."
"""Speak up, Miller; who is coming?"" she said.","""Johannes."""
"""Johannes.""","""Johannes. Well, what then?"""
"""Johannes. Well, what then?""","""Oh, why—we thought I ought to tell you. We talked about it, my wife
and I, and she thought so too. You were asking the day before yesterday
if he was coming home this spring. Yes, he's coming."""
"""In a month.""","""I see. Well, there was nothing else?"""
"""I see. Well, there was nothing else?""","""No. We only thought, as you had asked.... No, there was nothing else.
It was only that."""
"Still he did not answer. It occurred to him that perhaps he might say:
""Well, good evening, Miss Victoria,"" and go. From the place where he
stood it was one step down to the next stone and from there one to
her, and then he could withdraw as though quite naturally. She stood
right in his path. She had on a yellow dress and a red hat, she was
strangely beautiful; her throat was bare.","""I am blocking your way,"" he mumbled and stepped down. He controlled
himself so as not to show any emotion."
"""What do you want of me?"" she said in a toneless voice.","""I want nothing of you, Miss Victoria. I sat here on a stone and I
offered to move."""
"""I want nothing of you, Miss Victoria. I sat here on a stone and I
offered to move.""","""Oh well, I was at home with nothing to do, I had been there the whole
day, and then I came here. I might have gone up the river another way,
then I shouldn't have come just here...."""
"""Oh well, I was at home with nothing to do, I had been there the whole
day, and then I came here. I might have gone up the river another way,
then I shouldn't have come just here....""","""My dear Miss Victoria, the place is yours and not mine."""
"""My dear Miss Victoria, the place is yours and not mine.""","""I wronged you once, Johannes; I wanted to make it good again, to put
it right. I really have a surprise which I think ... I mean, which I
hope will please you. I can't say more. But I will ask you to come this
time."""
"""I wronged you once, Johannes; I wanted to make it good again, to put
it right. I really have a surprise which I think ... I mean, which I
hope will please you. I can't say more. But I will ask you to come this
time.""","""If it will give you any pleasure I shall come."""
"""If it will give you any pleasure I shall come.""","""Will you?"""
"""Will you?""","""Yes; thank you for your kindness."""
"""You didn't find any flowers?"" he asked absently.","""No, I gave it up. I wasn't looking for them either; I just sat there."""
"""Very well. You want me to say something? Very well.""","""Oh, not if it's such an effort."""
"""Can you understand her?""","""But then it was you who wouldn't have it?"""
"""But then it was you who wouldn't have it?""","""Could I, I ask you? Cleaned out, stripped, a teacher's job, one pipe
of tobacco on Sundays—what are you thinking of? I couldn't do her such
a wrong. But all I say is: can you understand her?"""
"""Could I, I ask you? Cleaned out, stripped, a teacher's job, one pipe
of tobacco on Sundays—what are you thinking of? I couldn't do her such
a wrong. But all I say is: can you understand her?""","""And what became of her afterwards?"""
"""And what became of her afterwards?""","""Good Lord, you don't answer my question! She married a captain. That
was the year after. A captain in the artillery. Your health!"""
"""They say some women are always looking for an object for their
compassion. If the man is getting on well they hate him and think
themselves superfluous; if things go against him and he is down they
crow over him and say: here I am.""","""But why didn't she accept me in the good days? I had the prospects of
a little god."""
"""But why didn't she accept me in the good days? I had the prospects of
a little god.""","""Goodness knows. She wanted to wait till you were brought low."""
"""Goodness knows. She wanted to wait till you were brought low.""","""But I wasn't brought low. Never. I kept my pride and sent her about
her business. What do you say to that?"""
"""I don't know.""","""No, I dare say not. But it is. And I do the same. I did not get her
whom I should have had; but I am not altogether without joys for all
that. Only I stir up the mud in them. Every time I stir up the mud.
Then I can't be beaten by the disappointment afterwards. There you see
Victoria. She drank with me just now. I have been her tutor; now she's
to be married and I'm glad about it, it gives me a purely personal
sense of happiness as if she was my own daughter. Now perhaps I shall
be tutor to her children. Oh yes, there are really a number of joys
left in life. But what you said about compassion and woman and the man
brought low—the more I think about it, the more you are right. Yes,
God knows you are.... Excuse me a second."""
"""Yes. He's forestalled me. I was going to do it myself; Victoria asked
me to some hours ago.""","""Who asked you to, did you say?"""
"""Thank him, thank him. It was very easy to understand, when he was so
lonely as a child.... What are you doing, Victoria?""","""I'm going to send the maid to him with this sprig of lilac for my
thanks. Mayn't I?"""
"""I'm going to send the maid to him with this sprig of lilac for my
thanks. Mayn't I?""","""No,"" answered the Lieutenant."
"""What's he worth, do you suppose?""","""Oh tut! there's no counting it."""
"""Do you want to know?"" she asked.","""Yes."""
"""Did he hit you?"" asked Camilla in the greatest astonishment.","""By accident. He got me in the eye. Would you like to look?"""
"""By accident. He got me in the eye. Would you like to look?""","""Heavens, it's all red, there's blood. No, don't rub it, let me bathe
it with water. Your handkerchief is too coarse, look here, take it
back; I'll use my own. Did you ever hear such a thing, right in his
eye!"""
"""Tomorrow. When are you coming to town?""","""In the autumn. Can I meet you this afternoon?"""
"""Oh yes, do! You told me about your cave; you must show me that.""","""I'll come and fetch you,"" he said."
"""I remember, Camilla, that you once gave me a dagger. It had a silver
sheath. I put it away in a box with a lot of other things, as I had no
use for it.""","""No, you had no use for it; but what then?"""
"""No, you had no use for it; but what then?""","""Well, you see, I've lost it."""
"""Well, you see, I've lost it.""","""Oh I say, that was unlucky. But perhaps I can get a pair to it
somewhere. I'll try."""
"""And do you remember the big medallion you gave me once? It was a
thick, heavy gold one and stood in a frame. You had written some kind
of words on it.""","""Yes, I remember."""
"""Yes, I remember.""","""Last year while I was abroad I gave away that medallion, Camilla."""
"""Last year while I was abroad I gave away that medallion, Camilla.""","""Oh no, you didn't? Fancy your giving it away! Why did you?"""
"""Oh no, you didn't? Fancy your giving it away! Why did you?""","""It was a young friend of mine who had it as a souvenir. He was a
Russian. He fell on his knees and thanked me for it."""
"""It was a young friend of mine who had it as a souvenir. He was a
Russian. He fell on his knees and thanked me for it.""","""Was he so glad as that? Oh, I'm sure he must have been wildly glad if
he fell on his knees! You shall have another medallion instead of it to
keep for yourself."""
"""Here by these bushes something happened to me once. I was walking
one evening as I so often did in my loneliness, and it was summer
and fine weather. I lay down behind the bushes and was lost in
thought. Then two people came quietly walking along the road. The
lady stopped. Her companion asked: why do you stop? And as he got no
answer he asked again: Is anything the matter? No, she answered; but
you mustn't look at me like that. I only looked at you, he said. Yes,
she answered, I know very well that you love me, but Papa won't allow
it, you understand; it is impossible. He murmured: Yes, I suppose it's
impossible. Then she said: You are so broad here, about the hand; you
have such oddly broad wrists! And then she took hold of his wrist.""","""Well, what happened?"" asked Camilla."
"""Do you think you could some day? Will you?""","""Yes,"" she answered, and fell into his arms."
"""Killed? The Lieutenant?""","""Yes. They're on the way with his body. It is terrible."""
"""Well, well, I'm not worthy of you, Camilla, no, not in any sense. But
I shall be as good to you as I possibly can if you will be mine.""","""I will be yours. I have wanted it the whole time, the whole time."""
"""Yes, that's forgotten long ago. Would you like me to fetch you a
shawl?""","""No thanks. But I can't understand why I'm trembling, my head is so
hot. Johannes, I have to ask your forgiveness for so much...."""
"""No thanks. But I can't understand why I'm trembling, my head is so
hot. Johannes, I have to ask your forgiveness for so much....""","""No, no, don't do that. There, now you are calmer. Sit still."""
"""No, no, don't do that. There, now you are calmer. Sit still.""","""You made me a speech at the dinner. I didn't know a thing from the
time you got up till you sat down again; I simply heard your voice. It
was like an organ and I was desperate at the power it had over me. Papa
asked me why I called out to you and interrupted you; he was very sorry
about it. But Mamma didn't ask me, she understood. I had told Mamma
all, many years ago I told her, and two years ago I told her again,
when I came back from town. That was the time I met you."""
"""You made me a speech at the dinner. I didn't know a thing from the
time you got up till you sat down again; I simply heard your voice. It
was like an organ and I was desperate at the power it had over me. Papa
asked me why I called out to you and interrupted you; he was very sorry
about it. But Mamma didn't ask me, she understood. I had told Mamma
all, many years ago I told her, and two years ago I told her again,
when I came back from town. That was the time I met you.""","""Don't let us talk about that."""
"""Don't let us talk about that.""","""No, but forgive me, do you hear, be merciful! What in the world am I
to do? Now there is Papa at home, walking up and down his study, it is
such a terrible thing for him. It's Sunday tomorrow; he has decided
that all the servants are to have the day off; that is the only thing
he has decided today. He is grey in the face and he doesn't say a word,
so hard has his son-in-law's death hit him. I told Mamma that I was
going to you. You and I must both go to town with the Chamberlains
tomorrow, she answered. I am going to Johannes, I repeated. Papa can't
find the money for all three of us, he will stay here himself, she said
and went on talking about other things. Then I went to the door. Mamma
looked at me. Now I'm going to him, I said for the last time. Mamma
followed me to the door and kissed me and said: Well well, God bless
you both!"""
"""There, now you're warm.""","""Thank you so much, yes, now I'm quite warm.... God bless you both,
she said. I have told Mamma all, she has known it the whole time. But
dear me, who is it you're in love with, child? she asked. Can you ask
me that again? I answered; it is Johannes I love, it is he alone I have
loved all my life, loved, loved...."""
"""Yes, yes, everything. It isn't that.""","""What is it then?"""
"""Thank you so much for coming, Camilla. I am so miserably depressed and
you are so cheerful; that will help me. Fancy, and what did you wear at
the ball?""","""Red, of course. Oh dear, I can't remember, but I must have talked a
lot and laughed a lot. It was so jolly. Yes, I was in red, no sleeves,
not a hint of them. Richmond is at the Legation in London."""
"""Red, of course. Oh dear, I can't remember, but I must have talked a
lot and laughed a lot. It was so jolly. Yes, I was in red, no sleeves,
not a hint of them. Richmond is at the Legation in London.""","""I see."""
"""I see.""","""Yes. And then I'll come when I've finished it. Thank you so much for
coming here, Camilla. And don't think any more about what I said. I
didn't mean any harm by it."""
"""Oh I say, how absent-minded I am. Excuse me, Johannes.""","""It doesn't matter; it is only some notes. But let's hear now: I
suppose you had a rose in your hair?"""
"""It doesn't matter; it is only some notes. But let's hear now: I
suppose you had a rose in your hair?""","""Oh yes! A red rose; it was almost black. I'll tell you what,
Johannes, we might go to London for our wedding trip. It isn't nearly
so awful as people say and it's all nonsense about the fogs."""
"""Oh yes! A red rose; it was almost black. I'll tell you what,
Johannes, we might go to London for our wedding trip. It isn't nearly
so awful as people say and it's all nonsense about the fogs.""","""Who told you that?"""
"""Who told you that?""","""Richmond. He said so last night, and he knows. You know Richmond,
don't you?"""
"""Richmond. He said so last night, and he knows. You know Richmond,
don't you?""","""No, I don't know him. He once proposed my health; he had diamond studs
in his shirt. That's all I remember about him."""
"""No, I don't know him. He once proposed my health; he had diamond studs
in his shirt. That's all I remember about him.""","""He's simply sweet. Oh, when he came up and bowed and said: I expect
you hardly remember me.... Do you know, I gave him the rose."""
"""He's simply sweet. Oh, when he came up and bowed and said: I expect
you hardly remember me.... Do you know, I gave him the rose.""","""Did you though? What rose?"""
"""Did you though? What rose?""","""The one I had in my hair. I gave it him."""
"""The one I had in my hair. I gave it him.""","""You must have been very taken with Richmond."""
"""Not a bit, far from it. Surely one can like a person, think them nice,
without.... For shame, Johannes, are you mad? I shall never mention his
name again.""","""But, bless me, my dear Camilla, I didn't mean ... you mustn't
think.... On the contrary, I should like to thank him for having
entertained you."""
"""But, bless me, my dear Camilla, I didn't mean ... you mustn't
think.... On the contrary, I should like to thank him for having
entertained you.""","""Yes, you just do it—you dare! For my part I'll never say another
word to him as long as I live."""
"""Yes, I can't stay any longer. How far have you got with your work now?
Mamma asked about it. Fancy, I haven't seen Victoria for several weeks
and I met her just now.""","""Just now?"""
"""Just now?""","""As I was coming here. She smiled. But my goodness, how she has
changed! Look here, aren't you coming to see us soon?"""
"""Yes. And then I'll come when I've finished it. Thank you so much for
coming here, Camilla. And don't think any more about what I said. I
didn't mean any harm by it.""","""I'm not thinking about it at all. But I shall never mention his name
again. Never."""
"""No, we won't go to London,"" he said thoughtfully.","""That's all right! So that's settled. Have you written that thing about
the Race? I'm so frightfully interested. You must get it finished very
quickly and come and see us, Johannes. The hour of love, wasn't that
it? And a lovely papal robe with folds, and a rosy red night; heavens,
how well I remember what you told me about it. I haven't been here
so often lately, but now I'm going to come every day to hear whether
you've finished."""
"""That's all right! So that's settled. Have you written that thing about
the Race? I'm so frightfully interested. You must get it finished very
quickly and come and see us, Johannes. The hour of love, wasn't that
it? And a lovely papal robe with folds, and a rosy red night; heavens,
how well I remember what you told me about it. I haven't been here
so often lately, but now I'm going to come every day to hear whether
you've finished.""","""I shall soon have finished,"" he said, still looking at her."
"""After all I may just as well go back.""","""See you on Tuesday,"" Camilla answered."
"""What do you say, is your master come back? Who told you to say so?""","""The master himself. He's standing outside."""
"""You are so pale. Is there anything wrong with you, dear?""","""I am not cold,"" he answers."
"""I am not cold,"" he answers.","""But has anything happened? Your face looks so strangely drawn."""
"""You didn't come to our party. We had a great time, I can tell you; we
were expecting you to the very last, but you didn't come.""","""I was prevented,"" he replied."
"""Agreed then. Yes, you see, I was giving lessons to her son. She has a
son, a young hopeful from her first marriage; of course she has been
married before, she was a widow. You see, I married a widow. You may
object that this was not arranged by my fairy godmother; but there it
is, I married a widow. The young hopeful she had already. It was like
this, I go there and look at the garden and the widow and for a while
I am absorbed in intense thought on the subject. Suddenly I have it
and I say to myself: well, I dare say it wasn't promised by your fairy
godmother and all that; but I'll do it all the same, I take it, for it
was probably written in the book of fate. You see, that's how it came
about.""","""Congratulations!"" said Johannes."
"""Congratulations!"" said Johannes.","""Stop! not a word more. I know what you're going to say. What about the
first one, you will say, have you forgotten the eternal love of your
youth? That's exactly what you will say. May I then ask you, my good
sir, in my turn, what became of my first, only and eternal love? Didn't
she take a captain in the artillery? Moreover I will ask you another
little question: have you ever, ever seen a case of a man getting the
one he should have got? I haven't. There's a legend about a man whose
prayers God heard in the matter, so that he was given his first and
only love. But he didn't get much satisfaction out of it. Why not? you
will ask again, and behold, I answer you: for the simple reason that
she died immediately after—immediately after, do you hear? ha-ha-ha,
instantly. So it is always. Naturally one doesn't get the right woman,
but if it happens once in a while out of pure cussedness, then she dies
straight away. There's always some trick in it. So then the man is
reduced to providing himself with another love of the best available
sort and there's no reason why he should die of the change. I tell you,
Nature has ordained it so wisely that he bears it remarkably well. Just
look at me."""
"""I can see that you're doing well.""","""Excellently for that matter. Look, feel and listen! Has a set of
unenticing troubles swept over my person? I have clothes, shoes,
house and home, wife and children—well, the hopeful anyhow. What was
I saying?—with regard to my poetry I'll answer the question on the
spot. Oh, my young colleague, I am older than you and perhaps a little
better equipped by Nature. I keep my poems in a drawer. They are to be
published after my death. But then you get no pleasure out of them, you
will object? You are wrong again there, for in the meantime I delight
my household with them. In the evening when the lamp is lit I unlock
the drawer, take out my poems and read them aloud to my wife and the
hopeful. One is forty, the other twelve, they are both enchanted. If
you come and see us one day you will find supper and toddy. Now I've
invited you. God preserve you from death."""
"""Have you heard about Victoria?""","""About Victoria? No. Oh yes, I heard just now, a moment ago...."""
"""About Victoria? No. Oh yes, I heard just now, a moment ago....""","""Haven't you seen her declining, getting greyer and greyer under the
eyes?"""
"""Haven't you seen her declining, getting greyer and greyer under the
eyes?""","""I haven't seen her since last spring at home. Is she still ill?"""
"""I heard just now.... No, I haven't seen her declining, I haven't met
her. Is she very ill?""","""Very. Probably dead by now, you understand."""
default,default response
"""These are the voyages of the spaceship Requirement. Its ongoing mission: to explore strange new worlds; to seek out new life and civilizations; to boldly go where no wizard—""","""I said no more references, Lee. The Muggles are gonna sue our arses off if they find out."""
"""So a spaceship with technology thousands of years beyond us and interstellar travel isn't enough for you?""","""I was promised aliens. And so far? Not impressed."""
"""Of course it is. This is a spaceship, not some old enchanted bike. It relies on the laws of physics and not dubious charms.""","""Just because you're pants on a broom doesn't mean magical means are unreliable."" Harry said jokingly."
"""As long as there's no giant worms under the dunes, I'll be happy."" Lee said through chattering teeth as the turbulence intensified.","""I'm sure Ginny will find us a nice spot with plenty of shade near the city."" Harry tried to reassure them, though the effect was diminished by the fervour with which he held on to the handles affixed on the ceiling."
"""I'm sure Ginny will find us a nice spot with plenty of shade near the city."" Harry tried to reassure them, though the effect was diminished by the fervour with which he held on to the handles affixed on the ceiling.","""If she doesn't kill us all first."" Zacharias muttered loud enough to be heard, despite the commotion."
"""Merlin's saggy-""","""We've lost the main engines!"" Ginny screamed."
"""—engines have failed and we have lost control. We are going in; Repeat, we are going—""","""Brace yourselves!"""
"""Without her, we wouldn't have needed saving in the first place!""","""I said stand down."""
"""Do what?"" Angelina asked with an inquisitive eyebrow raised.","""Make contact with the locals. We've come all this way, it'd be a waste to pack it up at the first bump on the road."""
"""We can't just show up on their doorstep.""","""Why not? It'd be the polite thing to do."""
"""Why not? It'd be the polite thing to do.""","""To them, we're the aliens. We risk frightening them."""
"""To them, we're the aliens. We risk frightening them.""","""I think we're past that point already. Our crash was hard to miss, especially since we flew over their city on the way down."""
"""I think we're past that point already. Our crash was hard to miss, especially since we flew over their city on the way down.""","""All the more reason to appear as peaceful as possible. We've made for a dreadful first impression"""
"""All the more reason to appear as peaceful as possible. We've made for a dreadful first impression""","""Not the worst we could have done. At least we didn't park Requirement right above their city."""
"""Not the worst we could have done. At least we didn't park Requirement right above their city.""","""Speaking of, we should really let them know we're ok."""
"""Speaking of, we should really let them know we're ok.""","""And what do we do with the shuttle? Leave it here?"""
"""And what do we do with the shuttle? Leave it here?""","""This mess isn't going anywhere. Worst-case scenario, we'll pick it up late with the ship."""
